"run","randomSeed","perception_radius","treasure_count","area_dimensions","navigation_memory","treasure_value","treasure_decay_rate","explorer_count"
1,-323063807,3,10,40,0.1,1000.0,0.01,100
3,-323062530,3,10,40,0.1,1000.0,0.01,300
5,-323057978,3,10,40,0.3,1000.0,0.01,200
7,-323056513,3,10,40,0.5,1000.0,0.01,100
9,-323055455,3,10,40,0.5,1000.0,0.01,300
11,-323052866,3,10,70,0.1,1000.0,0.01,200
13,-323040404,3,10,70,0.3,1000.0,0.01,100
15,-323033342,3,10,70,0.3,1000.0,0.01,300
17,-323015849,3,10,70,0.5,1000.0,0.01,200
19,-323006889,3,10,100,0.1,1000.0,0.01,100
21,-322980505,3,10,100,0.1,1000.0,0.01,300
23,-322918311,3,10,100,0.3,1000.0,0.01,200
25,-322868981,3,10,100,0.5,1000.0,0.01,100
27,-322853930,3,10,100,0.5,1000.0,0.01,300
29,-322779905,3,30,40,0.1,1000.0,0.01,200
31,-322779273,3,30,40,0.3,1000.0,0.01,100
33,-322779078,3,30,40,0.3,1000.0,0.01,300
35,-322778450,3,30,40,0.5,1000.0,0.01,200
37,-322778256,3,30,70,0.1,1000.0,0.01,100
39,-322776550,3,30,70,0.1,1000.0,0.01,300
41,-322769065,3,30,70,0.3,1000.0,0.01,200
43,-322764819,3,30,70,0.5,1000.0,0.01,100
45,-322762967,3,30,70,0.5,1000.0,0.01,300
47,-322754689,3,30,100,0.1,1000.0,0.01,200
49,-322740782,3,30,100,0.3,1000.0,0.01,100
51,-322732206,3,30,100,0.3,1000.0,0.01,300
53,-322696808,3,30,100,0.5,1000.0,0.01,200
55,-322682400,3,50,40,0.1,1000.0,0.01,100
57,-322682314,3,50,40,0.1,1000.0,0.01,300
59,-322682058,3,50,40,0.3,1000.0,0.01,200
61,-322681967,3,50,40,0.5,1000.0,0.01,100
63,-322681918,3,50,40,0.5,1000.0,0.01,300
65,-322681401,3,50,70,0.1,1000.0,0.01,200
67,-322678727,3,50,70,0.3,1000.0,0.01,100
69,-322677506,3,50,70,0.3,1000.0,0.01,300
71,-322674113,3,50,70,0.5,1000.0,0.01,200
73,-322671522,3,50,100,0.1,1000.0,0.01,100
75,-322666924,3,50,100,0.1,1000.0,0.01,300
77,-322648438,3,50,100,0.3,1000.0,0.01,200
79,-322637899,3,50,100,0.5,1000.0,0.01,100
81,-322631243,3,50,100,0.5,1000.0,0.01,300
83,-322618097,4,10,40,0.1,1000.0,0.01,200
85,-322616694,4,10,40,0.3,1000.0,0.01,100
87,-322616293,4,10,40,0.3,1000.0,0.01,300
89,-322614583,4,10,40,0.5,1000.0,0.01,200
91,-322613394,4,10,70,0.1,1000.0,0.01,100
93,-322607499,4,10,70,0.1,1000.0,0.01,300
95,-322589039,4,10,70,0.3,1000.0,0.01,200
97,-322578242,4,10,70,0.5,1000.0,0.01,100
99,-322572730,4,10,70,0.5,1000.0,0.01,300
101,-322557931,4,10,100,0.1,1000.0,0.01,200
103,-322523296,4,10,100,0.3,1000.0,0.01,100
105,-322501116,4,10,100,0.3,1000.0,0.01,300
107,-322439479,4,10,100,0.5,1000.0,0.01,200
109,-322397570,4,30,40,0.1,1000.0,0.01,100
111,-322397456,4,30,40,0.1,1000.0,0.01,300
113,-322396919,4,30,40,0.3,1000.0,0.01,200
115,-322396740,4,30,40,0.5,1000.0,0.01,100
117,-322396682,4,30,40,0.5,1000.0,0.01,300
119,-322395945,4,30,70,0.1,1000.0,0.01,200
121,-322392708,4,30,70,0.3,1000.0,0.01,100
123,-322391260,4,30,70,0.3,1000.0,0.01,300
125,-322386917,4,30,70,0.5,1000.0,0.01,200
127,-322383257,4,30,100,0.1,1000.0,0.01,100
129,-322376831,4,30,100,0.1,1000.0,0.01,300
131,-322357157,4,30,100,0.3,1000.0,0.01,200
133,-322345981,4,30,100,0.5,1000.0,0.01,100
135,-322339005,4,30,100,0.5,1000.0,0.01,300
137,-322319978,4,50,40,0.1,1000.0,0.01,200
139,-322319871,4,50,40,0.3,1000.0,0.01,100
141,-322319803,4,50,40,0.3,1000.0,0.01,300
143,-322319666,4,50,40,0.5,1000.0,0.01,200
145,-322319582,4,50,70,0.1,1000.0,0.01,100
147,-322319075,4,50,70,0.1,1000.0,0.01,300
149,-322316365,4,50,70,0.3,1000.0,0.01,200
151,-322314729,4,50,70,0.5,1000.0,0.01,100
153,-322313637,4,50,70,0.5,1000.0,0.01,300
155,-322310856,4,50,100,0.1,1000.0,0.01,200
157,-322302483,4,50,100,0.3,1000.0,0.01,100
159,-322298466,4,50,100,0.3,1000.0,0.01,300
