"run","randomSeed","perception_radius","treasure_count","area_dimensions","navigation_memory","treasure_value","treasure_decay_rate","explorer_count"
1,-315081546,3,10,40,0.1,1000.0,0.01,100
3,-315080262,3,10,40,0.1,1000.0,0.01,300
5,-315076247,3,10,40,0.3,1000.0,0.01,200
7,-315075279,3,10,40,0.5,1000.0,0.01,100
9,-315074047,3,10,40,0.5,1000.0,0.01,300
11,-315071654,3,10,70,0.1,1000.0,0.01,200
13,-315059405,3,10,70,0.3,1000.0,0.01,100
15,-315051678,3,10,70,0.3,1000.0,0.01,300
17,-315038324,3,10,70,0.5,1000.0,0.01,200
19,-315028756,3,10,100,0.1,1000.0,0.01,100
21,-315015484,3,10,100,0.1,1000.0,0.01,300
23,-314958624,3,10,100,0.3,1000.0,0.01,200
25,-314914222,3,10,100,0.5,1000.0,0.01,100
27,-314890952,3,10,100,0.5,1000.0,0.01,300
29,-314811520,3,30,40,0.1,1000.0,0.01,200
31,-314811217,3,30,40,0.3,1000.0,0.01,100
33,-314810720,3,30,40,0.3,1000.0,0.01,300
35,-314810125,3,30,40,0.5,1000.0,0.01,200
37,-314809812,3,30,70,0.1,1000.0,0.01,100
39,-314807842,3,30,70,0.1,1000.0,0.01,300
41,-314801765,3,30,70,0.3,1000.0,0.01,200
43,-314796999,3,30,70,0.5,1000.0,0.01,100
45,-314794875,3,30,70,0.5,1000.0,0.01,300
47,-314788656,3,30,100,0.1,1000.0,0.01,200
49,-314771716,3,30,100,0.3,1000.0,0.01,100
51,-314764609,3,30,100,0.3,1000.0,0.01,300
53,-314738533,3,30,100,0.5,1000.0,0.01,200
55,-314725544,3,50,40,0.1,1000.0,0.01,100
57,-314725497,3,50,40,0.1,1000.0,0.01,300
59,-314725202,3,50,40,0.3,1000.0,0.01,200
61,-314725093,3,50,40,0.5,1000.0,0.01,100
63,-314725046,3,50,40,0.5,1000.0,0.01,300
65,-314724796,3,50,70,0.1,1000.0,0.01,200
67,-314721984,3,50,70,0.3,1000.0,0.01,100
69,-314720607,3,50,70,0.3,1000.0,0.01,300
71,-314715937,3,50,70,0.5,1000.0,0.01,200
73,-314713592,3,50,100,0.1,1000.0,0.01,100
75,-314709858,3,50,100,0.1,1000.0,0.01,300
77,-314695353,3,50,100,0.3,1000.0,0.01,200
79,-314685780,3,50,100,0.5,1000.0,0.01,100
81,-314681123,3,50,100,0.5,1000.0,0.01,300
83,-314667565,4,10,40,0.1,1000.0,0.01,200
85,-314666623,4,10,40,0.3,1000.0,0.01,100
87,-314666123,4,10,40,0.3,1000.0,0.01,300
89,-314664750,4,10,40,0.5,1000.0,0.01,200
91,-314662422,4,10,70,0.1,1000.0,0.01,100
93,-314659984,4,10,70,0.1,1000.0,0.01,300
95,-314639797,4,10,70,0.3,1000.0,0.01,200
97,-314631373,4,10,70,0.5,1000.0,0.01,100
99,-314626921,4,10,70,0.5,1000.0,0.01,300
101,-314613588,4,10,100,0.1,1000.0,0.01,200
103,-314583234,4,10,100,0.3,1000.0,0.01,100
105,-314574546,4,10,100,0.3,1000.0,0.01,300
107,-314519279,4,10,100,0.5,1000.0,0.01,200
109,-314495296,4,30,40,0.1,1000.0,0.01,100
111,-314495171,4,30,40,0.1,1000.0,0.01,300
113,-314494984,4,30,40,0.3,1000.0,0.01,200
115,-314494828,4,30,40,0.5,1000.0,0.01,100
117,-314494765,4,30,40,0.5,1000.0,0.01,300
119,-314494562,4,30,70,0.1,1000.0,0.01,200
121,-314491474,4,30,70,0.3,1000.0,0.01,100
123,-314490029,4,30,70,0.3,1000.0,0.01,300
125,-314485374,4,30,70,0.5,1000.0,0.01,200
127,-314482420,4,30,100,0.1,1000.0,0.01,100
129,-314476874,4,30,100,0.1,1000.0,0.01,300
131,-314454468,4,30,100,0.3,1000.0,0.01,200
133,-314438743,4,30,100,0.5,1000.0,0.01,100
135,-314431623,4,30,100,0.5,1000.0,0.01,300
137,-314413171,4,50,40,0.1,1000.0,0.01,200
139,-314413078,4,50,40,0.3,1000.0,0.01,100
