"run","randomSeed","perception_radius","treasure_count","area_dimensions","navigation_memory","treasure_value","treasure_decay_rate","explorer_count"
1,-320001638,3,10,40,0.1,1000.0,0.01,100
3,-319999906,3,10,40,0.1,1000.0,0.01,300
5,-319995859,3,10,40,0.3,1000.0,0.01,200
7,-319994171,3,10,40,0.5,1000.0,0.01,100
9,-319993421,3,10,40,0.5,1000.0,0.01,300
11,-319990874,3,10,70,0.1,1000.0,0.01,200
13,-319979826,3,10,70,0.3,1000.0,0.01,100
15,-319976021,3,10,70,0.3,1000.0,0.01,300
17,-319961703,3,10,70,0.5,1000.0,0.01,200
19,-319950968,3,10,100,0.1,1000.0,0.01,100
21,-319936999,3,10,100,0.1,1000.0,0.01,300
23,-319878311,3,10,100,0.3,1000.0,0.01,200
25,-319815905,3,10,100,0.5,1000.0,0.01,100
27,-319794315,3,10,100,0.5,1000.0,0.01,300
29,-319742437,3,30,40,0.1,1000.0,0.01,200
31,-319742171,3,30,40,0.3,1000.0,0.01,100
33,-319741937,3,30,40,0.3,1000.0,0.01,300
35,-319741530,3,30,40,0.5,1000.0,0.01,200
37,-319741187,3,30,70,0.1,1000.0,0.01,100
39,-319739609,3,30,70,0.1,1000.0,0.01,300
41,-319731703,3,30,70,0.3,1000.0,0.01,200
43,-319726937,3,30,70,0.5,1000.0,0.01,100
45,-319725046,3,30,70,0.5,1000.0,0.01,300
47,-319718201,3,30,100,0.1,1000.0,0.01,200
49,-319703327,3,30,100,0.3,1000.0,0.01,100
51,-319697577,3,30,100,0.3,1000.0,0.01,300
53,-319669714,3,30,100,0.5,1000.0,0.01,200
55,-319651062,3,50,40,0.1,1000.0,0.01,100
57,-319651030,3,50,40,0.1,1000.0,0.01,300
59,-319650687,3,50,40,0.3,1000.0,0.01,200
61,-319650562,3,50,40,0.5,1000.0,0.01,100
63,-319650515,3,50,40,0.5,1000.0,0.01,300
65,-319650249,3,50,70,0.1,1000.0,0.01,200
67,-319647780,3,50,70,0.3,1000.0,0.01,100
69,-319646703,3,50,70,0.3,1000.0,0.01,300
71,-319642999,3,50,70,0.5,1000.0,0.01,200
73,-319640625,3,50,100,0.1,1000.0,0.01,100
75,-319636734,3,50,100,0.1,1000.0,0.01,300
77,-319618842,3,50,100,0.3,1000.0,0.01,200
79,-319605075,3,50,100,0.5,1000.0,0.01,100
81,-319600532,3,50,100,0.5,1000.0,0.01,300
83,-319581374,4,10,40,0.1,1000.0,0.01,200
85,-319579998,4,10,40,0.3,1000.0,0.01,100
87,-319579670,4,10,40,0.3,1000.0,0.01,300
89,-319577219,4,10,40,0.5,1000.0,0.01,200
91,-319576437,4,10,70,0.1,1000.0,0.01,100
93,-319573343,4,10,70,0.1,1000.0,0.01,300
95,-319560203,4,10,70,0.3,1000.0,0.01,200
97,-319552795,4,10,70,0.5,1000.0,0.01,100
99,-319549780,4,10,70,0.5,1000.0,0.01,300
101,-319539705,4,10,100,0.1,1000.0,0.01,200
103,-319506407,4,10,100,0.3,1000.0,0.01,100
105,-319490232,4,10,100,0.3,1000.0,0.01,300
107,-319441703,4,10,100,0.5,1000.0,0.01,200
109,-319392780,4,30,40,0.1,1000.0,0.01,100
111,-319392655,4,30,40,0.1,1000.0,0.01,300
113,-319392280,4,30,40,0.3,1000.0,0.01,200
115,-319392015,4,30,40,0.5,1000.0,0.01,100
117,-319391921,4,30,40,0.5,1000.0,0.01,300
119,-319391546,4,30,70,0.1,1000.0,0.01,200
121,-319386358,4,30,70,0.3,1000.0,0.01,100
123,-319384872,4,30,70,0.3,1000.0,0.01,300
125,-319380233,4,30,70,0.5,1000.0,0.01,200
127,-319376751,4,30,100,0.1,1000.0,0.01,100
129,-319370530,4,30,100,0.1,1000.0,0.01,300
131,-319354585,4,30,100,0.3,1000.0,0.01,200
133,-319338327,4,30,100,0.5,1000.0,0.01,100
135,-319332483,4,30,100,0.5,1000.0,0.01,300
137,-319308312,4,50,40,0.1,1000.0,0.01,200
139,-319308218,4,50,40,0.3,1000.0,0.01,100
141,-319308172,4,50,40,0.3,1000.0,0.01,300
143,-319308078,4,50,40,0.5,1000.0,0.01,200
145,-319308000,4,50,70,0.1,1000.0,0.01,100
147,-319307478,4,50,70,0.1,1000.0,0.01,300
149,-319305077,4,50,70,0.3,1000.0,0.01,200
151,-319303452,4,50,70,0.5,1000.0,0.01,100
153,-319302625,4,50,70,0.5,1000.0,0.01,300
155,-319300734,4,50,100,0.1,1000.0,0.01,200
157,-319294968,4,50,100,0.3,1000.0,0.01,100
159,-319291451,4,50,100,0.3,1000.0,0.01,300
161,-319281827,4,50,100,0.5,1000.0,0.01,200
163,-319273796,5,10,40,0.1,1000.0,0.01,100
165,-319273202,5,10,40,0.1,1000.0,0.01,300
167,-319272314,5,10,40,0.3,1000.0,0.01,200
169,-319271707,5,10,40,0.5,1000.0,0.01,100
171,-319271473,5,10,40,0.5,1000.0,0.01,300
173,-319270359,5,10,70,0.1,1000.0,0.01,200
175,-319263661,5,10,70,0.3,1000.0,0.01,100
177,-319261171,5,10,70,0.3,1000.0,0.01,300
179,-319242751,5,10,70,0.5,1000.0,0.01,200
181,-319234655,5,10,100,0.1,1000.0,0.01,100
183,-319221749,5,10,100,0.1,1000.0,0.01,300
185,-319189364,5,10,100,0.3,1000.0,0.01,200
187,-319146875,5,10,100,0.5,1000.0,0.01,100
189,-319135093,5,10,100,0.5,1000.0,0.01,300
191,-319100715,5,30,40,0.1,1000.0,0.01,200
193,-319100554,5,30,40,0.3,1000.0,0.01,100
195,-319100439,5,30,40,0.3,1000.0,0.01,300
197,-319100187,5,30,40,0.5,1000.0,0.01,200
199,-319100000,5,30,70,0.1,1000.0,0.01,100
201,-319099341,5,30,70,0.1,1000.0,0.01,300
203,-319096425,5,30,70,0.3,1000.0,0.01,200
205,-319094676,5,30,70,0.5,1000.0,0.01,100
207,-319093187,5,30,70,0.5,1000.0,0.01,300
209,-319089257,5,30,100,0.1,1000.0,0.01,200
211,-319080765,5,30,100,0.3,1000.0,0.01,100
213,-319076077,5,30,100,0.3,1000.0,0.01,300
215,-319063921,5,30,100,0.5,1000.0,0.01,200
217,-319053468,5,50,40,0.1,1000.0,0.01,100
219,-319053421,5,50,40,0.1,1000.0,0.01,300
221,-319053234,5,50,40,0.3,1000.0,0.01,200
223,-319053077,5,50,40,0.5,1000.0,0.01,100
225,-319053030,5,50,40,0.5,1000.0,0.01,300
227,-319052859,5,50,70,0.1,1000.0,0.01,200
229,-319052078,5,50,70,0.3,1000.0,0.01,100
231,-319051390,5,50,70,0.3,1000.0,0.01,300
233,-319050251,5,50,70,0.5,1000.0,0.01,200
235,-319049372,5,50,100,0.1,1000.0,0.01,100
237,-319046983,5,50,100,0.1,1000.0,0.01,300
239,-319039030,5,50,100,0.3,1000.0,0.01,200
241,-319029170,5,50,100,0.5,1000.0,0.01,100
243,-319025671,5,50,100,0.5,1000.0,0.01,300
245,-319016377,6,10,40,0.1,1000.0,0.01,200
247,-319016015,6,10,40,0.3,1000.0,0.01,100
249,-319015796,6,10,40,0.3,1000.0,0.01,300
251,-319013874,6,10,40,0.5,1000.0,0.01,200
253,-319013384,6,10,70,0.1,1000.0,0.01,100
255,-319010734,6,10,70,0.1,1000.0,0.01,300
257,-319002749,6,10,70,0.3,1000.0,0.01,200
259,-318993343,6,10,70,0.5,1000.0,0.01,100
261,-318990614,6,10,70,0.5,1000.0,0.01,300
263,-318982156,6,10,100,0.1,1000.0,0.01,200
265,-318953125,6,10,100,0.3,1000.0,0.01,100
267,-318941014,6,10,100,0.3,1000.0,0.01,300
269,-318898046,6,10,100,0.5,1000.0,0.01,200
271,-318876845,6,30,40,0.1,1000.0,0.01,100
273,-318876720,6,30,40,0.1,1000.0,0.01,300
275,-318876502,6,30,40,0.3,1000.0,0.01,200
277,-318876330,6,30,40,0.5,1000.0,0.01,100
279,-318876158,6,30,40,0.5,1000.0,0.01,300
281,-318875813,6,30,70,0.1,1000.0,0.01,200
283,-318874463,6,30,70,0.3,1000.0,0.01,100
285,-318873828,6,30,70,0.3,1000.0,0.01,300
287,-318871140,6,30,70,0.5,1000.0,0.01,200
289,-318869249,6,30,100,0.1,1000.0,0.01,100
291,-318865874,6,30,100,0.1,1000.0,0.01,300
293,-318852343,6,30,100,0.3,1000.0,0.01,200
295,-318841344,6,30,100,0.5,1000.0,0.01,100
297,-318835889,6,30,100,0.5,1000.0,0.01,300
299,-318819575,6,50,40,0.1,1000.0,0.01,200
301,-318819482,6,50,40,0.3,1000.0,0.01,100
303,-318819435,6,50,40,0.3,1000.0,0.01,300
305,-318819295,6,50,40,0.5,1000.0,0.01,200
307,-318819187,6,50,70,0.1,1000.0,0.01,100
309,-318818954,6,50,70,0.1,1000.0,0.01,300
311,-318817288,6,50,70,0.3,1000.0,0.01,200
313,-318816804,6,50,70,0.5,1000.0,0.01,100
315,-318816601,6,50,70,0.5,1000.0,0.01,300
317,-318815936,6,50,100,0.1,1000.0,0.01,200
319,-318813655,6,50,100,0.3,1000.0,0.01,100
321,-318812170,6,50,100,0.3,1000.0,0.01,300
323,-318805203,6,50,100,0.5,1000.0,0.01,200
2,-320001513,3,10,40,0.1,1000.0,0.01,200
4,-319999250,3,10,40,0.3,1000.0,0.01,100
6,-319997828,3,10,40,0.3,1000.0,0.01,300
8,-319995383,3,10,40,0.5,1000.0,0.01,200
10,-319994202,3,10,70,0.1,1000.0,0.01,100
12,-319986681,3,10,70,0.1,1000.0,0.01,300
14,-319973067,3,10,70,0.3,1000.0,0.01,200
16,-319965889,3,10,70,0.5,1000.0,0.01,100
18,-319960641,3,10,70,0.5,1000.0,0.01,300
20,-319942495,3,10,100,0.1,1000.0,0.01,200
22,-319885499,3,10,100,0.3,1000.0,0.01,100
24,-319873290,3,10,100,0.3,1000.0,0.01,300
26,-319798733,3,10,100,0.5,1000.0,0.01,200
28,-319751469,3,30,40,0.1,1000.0,0.01,100
30,-319751328,3,30,40,0.1,1000.0,0.01,300
32,-319750577,3,30,40,0.3,1000.0,0.01,200
34,-319750062,3,30,40,0.5,1000.0,0.01,100
36,-319749952,3,30,40,0.5,1000.0,0.01,300
38,-319749171,3,30,70,0.1,1000.0,0.01,200
40,-319745170,3,30,70,0.3,1000.0,0.01,100
42,-319742500,3,30,70,0.3,1000.0,0.01,300
44,-319735734,3,30,70,0.5,1000.0,0.01,200
46,-319731750,3,30,100,0.1,1000.0,0.01,100
48,-319721514,3,30,100,0.1,1000.0,0.01,300
50,-319701308,3,30,100,0.3,1000.0,0.01,200
52,-319685734,3,30,100,0.5,1000.0,0.01,100
54,-319679550,3,30,100,0.5,1000.0,0.01,300
56,-319658983,3,50,40,0.1,1000.0,0.01,200
58,-319658839,3,50,40,0.3,1000.0,0.01,100
60,-319658761,3,50,40,0.3,1000.0,0.01,300
62,-319658620,3,50,40,0.5,1000.0,0.01,200
64,-319658479,3,50,70,0.1,1000.0,0.01,100
66,-319657562,3,50,70,0.1,1000.0,0.01,300
68,-319654030,3,50,70,0.3,1000.0,0.01,200
70,-319651749,3,50,70,0.5,1000.0,0.01,100
72,-319650671,3,50,70,0.5,1000.0,0.01,300
74,-319645577,3,50,100,0.1,1000.0,0.01,200
76,-319636421,3,50,100,0.3,1000.0,0.01,100
78,-319632093,3,50,100,0.3,1000.0,0.01,300
80,-319618967,3,50,100,0.5,1000.0,0.01,200
82,-319610252,4,10,40,0.1,1000.0,0.01,100
84,-319609795,4,10,40,0.1,1000.0,0.01,300
86,-319607921,4,10,40,0.3,1000.0,0.01,200
88,-319607123,4,10,40,0.5,1000.0,0.01,100
90,-319606826,4,10,40,0.5,1000.0,0.01,300
92,-319605075,4,10,70,0.1,1000.0,0.01,200
94,-319598249,4,10,70,0.3,1000.0,0.01,100
96,-319594666,4,10,70,0.3,1000.0,0.01,300
98,-319576656,4,10,70,0.5,1000.0,0.01,200
100,-319562093,4,10,100,0.1,1000.0,0.01,100
102,-319545890,4,10,100,0.1,1000.0,0.01,300
104,-319503608,4,10,100,0.3,1000.0,0.01,200
106,-319468484,4,10,100,0.5,1000.0,0.01,100
108,-319446437,4,10,100,0.5,1000.0,0.01,300
110,-319386530,4,30,40,0.1,1000.0,0.01,200
112,-319386327,4,30,40,0.3,1000.0,0.01,100
114,-319386280,4,30,40,0.3,1000.0,0.01,300
116,-319385952,4,30,40,0.5,1000.0,0.01,200
118,-319385765,4,30,70,0.1,1000.0,0.01,100
120,-319384325,4,30,70,0.1,1000.0,0.01,300
122,-319379668,4,30,70,0.3,1000.0,0.01,200
124,-319377548,4,30,70,0.5,1000.0,0.01,100
126,-319376548,4,30,70,0.5,1000.0,0.01,300
128,-319370718,4,30,100,0.1,1000.0,0.01,200
130,-319358386,4,30,100,0.3,1000.0,0.01,100
132,-319351625,4,30,100,0.3,1000.0,0.01,300
134,-319334301,4,30,100,0.5,1000.0,0.01,200
136,-319322733,4,50,40,0.1,1000.0,0.01,100
138,-319322671,4,50,40,0.1,1000.0,0.01,300
140,-319322499,4,50,40,0.3,1000.0,0.01,200
142,-319322437,4,50,40,0.5,1000.0,0.01,100
144,-319322374,4,50,40,0.5,1000.0,0.01,300
146,-319322255,4,50,70,0.1,1000.0,0.01,200
148,-319320783,4,50,70,0.3,1000.0,0.01,100
150,-319320377,4,50,70,0.3,1000.0,0.01,300
152,-319317734,4,50,70,0.5,1000.0,0.01,200
154,-319316484,4,50,100,0.1,1000.0,0.01,100
156,-319311655,4,50,100,0.1,1000.0,0.01,300
158,-319300263,4,50,100,0.3,1000.0,0.01,200
160,-319292750,4,50,100,0.5,1000.0,0.01,100
162,-319289094,4,50,100,0.5,1000.0,0.01,300
164,-319278249,5,10,40,0.1,1000.0,0.01,200
166,-319277656,5,10,40,0.3,1000.0,0.01,100
168,-319276968,5,10,40,0.3,1000.0,0.01,300
170,-319275937,5,10,40,0.5,1000.0,0.01,200
172,-319274233,5,10,70,0.1,1000.0,0.01,100
174,-319271895,5,10,70,0.1,1000.0,0.01,300
176,-319257687,5,10,70,0.3,1000.0,0.01,200
178,-319242254,5,10,70,0.5,1000.0,0.01,100
180,-319239390,5,10,70,0.5,1000.0,0.01,300
182,-319229671,5,10,100,0.1,1000.0,0.01,200
184,-319202686,5,10,100,0.3,1000.0,0.01,100
186,-319186643,5,10,100,0.3,1000.0,0.01,300
188,-319141764,5,10,100,0.5,1000.0,0.01,200
190,-319109093,5,30,40,0.1,1000.0,0.01,100
192,-319109031,5,30,40,0.1,1000.0,0.01,300
194,-319108796,5,30,40,0.3,1000.0,0.01,200
196,-319108656,5,30,40,0.5,1000.0,0.01,100
198,-319108578,5,30,40,0.5,1000.0,0.01,300
200,-319108328,5,30,70,0.1,1000.0,0.01,200
202,-319106484,5,30,70,0.3,1000.0,0.01,100
204,-319105546,5,30,70,0.3,1000.0,0.01,300
206,-319100342,5,30,70,0.5,1000.0,0.01,200
208,-319097473,5,30,100,0.1,1000.0,0.01,100
210,-319092593,5,30,100,0.1,1000.0,0.01,300
212,-319071155,5,30,100,0.3,1000.0,0.01,200
214,-319061937,5,30,100,0.5,1000.0,0.01,100
216,-319057031,5,30,100,0.5,1000.0,0.01,300
218,-319041655,5,50,40,0.1,1000.0,0.01,200
220,-319041525,5,50,40,0.3,1000.0,0.01,100
222,-319041462,5,50,40,0.3,1000.0,0.01,300
224,-319041311,5,50,40,0.5,1000.0,0.01,200
226,-319041191,5,50,70,0.1,1000.0,0.01,100
228,-319040572,5,50,70,0.1,1000.0,0.01,300
230,-319039187,5,50,70,0.3,1000.0,0.01,200
232,-319037819,5,50,70,0.5,1000.0,0.01,100
234,-319037263,5,50,70,0.5,1000.0,0.01,300
236,-319034983,5,50,100,0.1,1000.0,0.01,200
238,-319031375,5,50,100,0.3,1000.0,0.01,100
240,-319029092,5,50,100,0.3,1000.0,0.01,300
242,-319023558,5,50,100,0.5,1000.0,0.01,200
244,-319017311,6,10,40,0.1,1000.0,0.01,100
246,-319017021,6,10,40,0.1,1000.0,0.01,300
248,-319016187,6,10,40,0.3,1000.0,0.01,200
250,-319015734,6,10,40,0.5,1000.0,0.01,100
252,-319015219,6,10,40,0.5,1000.0,0.01,300
254,-319014385,6,10,70,0.1,1000.0,0.01,200
256,-319008453,6,10,70,0.3,1000.0,0.01,100
258,-319005202,6,10,70,0.3,1000.0,0.01,300
260,-318997515,6,10,70,0.5,1000.0,0.01,200
262,-318990302,6,10,100,0.1,1000.0,0.01,100
264,-318975370,6,10,100,0.1,1000.0,0.01,300
266,-318952703,6,10,100,0.3,1000.0,0.01,200
268,-318935687,6,10,100,0.5,1000.0,0.01,100
270,-318924077,6,10,100,0.5,1000.0,0.01,300
272,-318885583,6,30,40,0.1,1000.0,0.01,200
274,-318885473,6,30,40,0.3,1000.0,0.01,100
