"run","randomSeed","perception_radius","treasure_count","area_dimensions","navigation_memory","treasure_value","treasure_decay_rate","explorer_count"
1,-321624690,3,10,40,0.1,1000.0,0.01,100
3,-321622944,3,10,40,0.1,1000.0,0.01,300
5,-321616551,3,10,40,0.3,1000.0,0.01,200
7,-321614586,3,10,40,0.5,1000.0,0.01,100
9,-321613552,3,10,40,0.5,1000.0,0.01,300
11,-321611294,3,10,70,0.1,1000.0,0.01,200
13,-321593654,3,10,70,0.3,1000.0,0.01,100
15,-321584672,3,10,70,0.3,1000.0,0.01,300
17,-321572234,3,10,70,0.5,1000.0,0.01,200
19,-321562271,3,10,100,0.1,1000.0,0.01,100
21,-321543425,3,10,100,0.1,1000.0,0.01,300
23,-321498664,3,10,100,0.3,1000.0,0.01,200
25,-321448244,3,10,100,0.5,1000.0,0.01,100
27,-321427726,3,10,100,0.5,1000.0,0.01,300
29,-321344287,3,30,40,0.1,1000.0,0.01,200
31,-321343942,3,30,40,0.3,1000.0,0.01,100
33,-321343725,3,30,40,0.3,1000.0,0.01,300
35,-321343351,3,30,40,0.5,1000.0,0.01,200
37,-321342921,3,30,70,0.1,1000.0,0.01,100
39,-321340768,3,30,70,0.1,1000.0,0.01,300
41,-321333789,3,30,70,0.3,1000.0,0.01,200
43,-321330756,3,30,70,0.5,1000.0,0.01,100
45,-321328996,3,30,70,0.5,1000.0,0.01,300
47,-321322240,3,30,100,0.1,1000.0,0.01,200
49,-321309851,3,30,100,0.3,1000.0,0.01,100
51,-321302614,3,30,100,0.3,1000.0,0.01,300
53,-321279994,3,30,100,0.5,1000.0,0.01,200
55,-321261893,3,50,40,0.1,1000.0,0.01,100
57,-321261847,3,50,40,0.1,1000.0,0.01,300
59,-321261639,3,50,40,0.3,1000.0,0.01,200
61,-321261514,3,50,40,0.5,1000.0,0.01,100
63,-321261427,3,50,40,0.5,1000.0,0.01,300
65,-321261169,3,50,70,0.1,1000.0,0.01,200
67,-321258473,3,50,70,0.3,1000.0,0.01,100
69,-321257761,3,50,70,0.3,1000.0,0.01,300
71,-321254960,3,50,70,0.5,1000.0,0.01,200
73,-321252532,3,50,100,0.1,1000.0,0.01,100
75,-321247811,3,50,100,0.1,1000.0,0.01,300
77,-321229780,3,50,100,0.3,1000.0,0.01,200
