"run","randomSeed","perception_radius","treasure_count","area_dimensions","navigation_memory","treasure_value","treasure_decay_rate","explorer_count"
1,-318270493,3,10,40,0.1,1000.0,0.01,100
3,-318268616,3,10,40,0.1,1000.0,0.01,300
5,-318263466,3,10,40,0.3,1000.0,0.01,200
7,-318260765,3,10,40,0.5,1000.0,0.01,100
9,-318260016,3,10,40,0.5,1000.0,0.01,300
11,-318256843,3,10,70,0.1,1000.0,0.01,200
13,-318246415,3,10,70,0.3,1000.0,0.01,100
15,-318240556,3,10,70,0.3,1000.0,0.01,300
17,-318219251,3,10,70,0.5,1000.0,0.01,200
19,-318208772,3,10,100,0.1,1000.0,0.01,100
21,-318185584,3,10,100,0.1,1000.0,0.01,300
23,-318131308,3,10,100,0.3,1000.0,0.01,200
25,-318076516,3,10,100,0.5,1000.0,0.01,100
27,-318047124,3,10,100,0.5,1000.0,0.01,300
29,-317979640,3,30,40,0.1,1000.0,0.01,200
31,-317979375,3,30,40,0.3,1000.0,0.01,100
33,-317979109,3,30,40,0.3,1000.0,0.01,300
35,-317978719,3,30,40,0.5,1000.0,0.01,200
37,-317978375,3,30,70,0.1,1000.0,0.01,100
39,-317976109,3,30,70,0.1,1000.0,0.01,300
41,-317969703,3,30,70,0.3,1000.0,0.01,200
43,-317966093,3,30,70,0.5,1000.0,0.01,100
45,-317964360,3,30,70,0.5,1000.0,0.01,300
47,-317958684,3,30,100,0.1,1000.0,0.01,200
49,-317941422,3,30,100,0.3,1000.0,0.01,100
51,-317935109,3,30,100,0.3,1000.0,0.01,300
53,-317914807,3,30,100,0.5,1000.0,0.01,200
55,-317894438,3,50,40,0.1,1000.0,0.01,100
57,-317894375,3,50,40,0.1,1000.0,0.01,300
59,-317894202,3,50,40,0.3,1000.0,0.01,200
61,-317893999,3,50,40,0.5,1000.0,0.01,100
63,-317893857,3,50,40,0.5,1000.0,0.01,300
65,-317893341,3,50,70,0.1,1000.0,0.01,200
67,-317891578,3,50,70,0.3,1000.0,0.01,100
69,-317890370,3,50,70,0.3,1000.0,0.01,300
71,-317886905,3,50,70,0.5,1000.0,0.01,200
73,-317884905,3,50,100,0.1,1000.0,0.01,100
75,-317880265,3,50,100,0.1,1000.0,0.01,300
77,-317863889,3,50,100,0.3,1000.0,0.01,200
79,-317854162,3,50,100,0.5,1000.0,0.01,100
81,-317849899,3,50,100,0.5,1000.0,0.01,300
83,-317836453,4,10,40,0.1,1000.0,0.01,200
85,-317835547,4,10,40,0.3,1000.0,0.01,100
87,-317834796,4,10,40,0.3,1000.0,0.01,300
89,-317832546,4,10,40,0.5,1000.0,0.01,200
91,-317831905,4,10,70,0.1,1000.0,0.01,100
93,-317828234,4,10,70,0.1,1000.0,0.01,300
95,-317814531,4,10,70,0.3,1000.0,0.01,200
97,-317804953,4,10,70,0.5,1000.0,0.01,100
99,-317798725,4,10,70,0.5,1000.0,0.01,300
101,-317788849,4,10,100,0.1,1000.0,0.01,200
103,-317765092,4,10,100,0.3,1000.0,0.01,100
105,-317740526,4,10,100,0.3,1000.0,0.01,300
107,-317696874,4,10,100,0.5,1000.0,0.01,200
109,-317667766,4,30,40,0.1,1000.0,0.01,100
111,-317667625,4,30,40,0.1,1000.0,0.01,300
113,-317667469,4,30,40,0.3,1000.0,0.01,200
115,-317667252,4,30,40,0.5,1000.0,0.01,100
117,-317667202,4,30,40,0.5,1000.0,0.01,300
119,-317666905,4,30,70,0.1,1000.0,0.01,200
121,-317664264,4,30,70,0.3,1000.0,0.01,100
123,-317662874,4,30,70,0.3,1000.0,0.01,300
125,-317658389,4,30,70,0.5,1000.0,0.01,200
127,-317656187,4,30,100,0.1,1000.0,0.01,100
129,-317648700,4,30,100,0.1,1000.0,0.01,300
131,-317622576,4,30,100,0.3,1000.0,0.01,200
133,-317610531,4,30,100,0.5,1000.0,0.01,100
135,-317604734,4,30,100,0.5,1000.0,0.01,300
137,-317583525,4,50,40,0.1,1000.0,0.01,200
139,-317583353,4,50,40,0.3,1000.0,0.01,100
141,-317583306,4,50,40,0.3,1000.0,0.01,300
143,-317583076,4,50,40,0.5,1000.0,0.01,200
