"run","randomSeed","perception_radius","treasure_count","area_dimensions","navigation_memory","treasure_value","treasure_decay_rate","explorer_count"
1,-325692822,3,10,40,0.1,1000.0,0.01,100
5,-325690687,3,10,40,0.3,1000.0,0.01,200
9,-325685144,3,10,40,0.5,1000.0,0.01,300
13,-325679524,3,10,70,0.3,1000.0,0.01,100
17,-325668054,3,10,70,0.5,1000.0,0.01,200
21,-325651654,3,10,100,0.1,1000.0,0.01,300
25,-325572686,3,10,100,0.5,1000.0,0.01,100
29,-325525207,3,30,40,0.1,1000.0,0.01,200
33,-325523724,3,30,40,0.3,1000.0,0.01,300
37,-325522513,3,30,70,0.1,1000.0,0.01,100
41,-325519140,3,30,70,0.3,1000.0,0.01,200
45,-325510204,3,30,70,0.5,1000.0,0.01,300
49,-325499079,3,30,100,0.3,1000.0,0.01,100
53,-325486436,3,30,100,0.5,1000.0,0.01,200
57,-325453316,3,50,40,0.1,1000.0,0.01,300
61,-325452978,3,50,40,0.5,1000.0,0.01,100
65,-325452808,3,50,70,0.1,1000.0,0.01,200
69,-325447503,3,50,70,0.3,1000.0,0.01,300
73,-325439857,3,50,100,0.1,1000.0,0.01,100
77,-325433780,3,50,100,0.3,1000.0,0.01,200
81,-325416672,3,50,100,0.5,1000.0,0.01,300
85,-325392656,4,10,40,0.3,1000.0,0.01,100
89,-325391633,4,10,40,0.5,1000.0,0.01,200
93,-325389325,4,10,70,0.1,1000.0,0.01,300
97,-325364994,4,10,70,0.5,1000.0,0.01,100
101,-325355432,4,10,100,0.1,1000.0,0.01,200
105,-325284850,4,10,100,0.3,1000.0,0.01,300
109,-325206932,4,30,40,0.1,1000.0,0.01,100
113,-325206811,4,30,40,0.3,1000.0,0.01,200
117,-325206484,4,30,40,0.5,1000.0,0.01,300
121,-325205873,4,30,70,0.3,1000.0,0.01,100
125,-325203504,4,30,70,0.5,1000.0,0.01,200
129,-325195238,4,30,100,0.1,1000.0,0.01,300
133,-325158331,4,30,100,0.5,1000.0,0.01,100
137,-325150076,4,50,40,0.1,1000.0,0.01,200
141,-325149914,4,50,40,0.3,1000.0,0.01,300
145,-325149702,4,50,70,0.1,1000.0,0.01,100
149,-325148931,4,50,70,0.3,1000.0,0.01,200
153,-325146693,4,50,70,0.5,1000.0,0.01,300
157,-325143258,4,50,100,0.3,1000.0,0.01,100
161,-325137782,4,50,100,0.5,1000.0,0.01,200
165,-325126526,5,10,40,0.1,1000.0,0.01,300
169,-325121552,5,10,40,0.5,1000.0,0.01,100
173,-325120611,5,10,70,0.1,1000.0,0.01,200
177,-325111951,5,10,70,0.3,1000.0,0.01,300
181,-325092135,5,10,100,0.1,1000.0,0.01,100
185,-325060572,5,10,100,0.3,1000.0,0.01,200
189,-325010296,5,10,100,0.5,1000.0,0.01,300
193,-324938846,5,30,40,0.3,1000.0,0.01,100
197,-324938662,5,30,40,0.5,1000.0,0.01,200
201,-324938366,5,30,70,0.1,1000.0,0.01,300
205,-324929530,5,30,70,0.5,1000.0,0.01,100
209,-324927379,5,30,100,0.1,1000.0,0.01,200
213,-324906005,5,30,100,0.3,1000.0,0.01,300
217,-324876317,5,50,40,0.1,1000.0,0.01,100
221,-324876226,5,50,40,0.3,1000.0,0.01,200
225,-324876041,5,50,40,0.5,1000.0,0.01,300
229,-324875810,5,50,70,0.3,1000.0,0.01,100
233,-324874581,5,50,70,0.5,1000.0,0.01,200
237,-324873344,5,50,100,0.1,1000.0,0.01,300
241,-324861783,5,50,100,0.5,1000.0,0.01,100
245,-324856166,6,10,40,0.1,1000.0,0.01,200
249,-324854897,6,10,40,0.3,1000.0,0.01,300
253,-324853364,6,10,70,0.1,1000.0,0.01,100
257,-324848750,6,10,70,0.3,1000.0,0.01,200
261,-324824546,6,10,70,0.5,1000.0,0.01,300
265,-324803869,6,10,100,0.3,1000.0,0.01,100
269,-324771427,6,10,100,0.5,1000.0,0.01,200
273,-324728348,6,30,40,0.1,1000.0,0.01,300
277,-324727915,6,30,40,0.5,1000.0,0.01,100
281,-324727810,6,30,70,0.1,1000.0,0.01,200
285,-324724537,6,30,70,0.3,1000.0,0.01,300
289,-324718494,6,30,100,0.1,1000.0,0.01,100
293,-324710332,6,30,100,0.3,1000.0,0.01,200
297,-324696377,6,30,100,0.5,1000.0,0.01,300
301,-324654465,6,50,40,0.3,1000.0,0.01,100
305,-324654373,6,50,40,0.5,1000.0,0.01,200
309,-324654089,6,50,70,0.1,1000.0,0.01,300
313,-324648832,6,50,70,0.5,1000.0,0.01,100
317,-324648207,6,50,100,0.1,1000.0,0.01,200
321,-324639326,6,50,100,0.3,1000.0,0.01,300
2,-325692191,3,10,40,0.1,1000.0,0.01,200
6,-325686672,3,10,40,0.3,1000.0,0.01,300
10,-325682105,3,10,70,0.1,1000.0,0.01,100
14,-325670616,3,10,70,0.3,1000.0,0.01,200
18,-325653450,3,10,70,0.5,1000.0,0.01,300
