"run","randomSeed","perception_radius","treasure_count","area_dimensions","navigation_memory","treasure_value","treasure_decay_rate","explorer_count"
225,-323495289,5,50,40,0.5,1000.0,0.01,300
227,-323495134,5,50,70,0.1,1000.0,0.01,200
229,-323494122,5,50,70,0.3,1000.0,0.01,100
231,-323493491,5,50,70,0.3,1000.0,0.01,300
233,-323492272,5,50,70,0.5,1000.0,0.01,200
235,-323491124,5,50,100,0.1,1000.0,0.01,100
237,-323488011,5,50,100,0.1,1000.0,0.01,300
239,-323477083,5,50,100,0.3,1000.0,0.01,200
241,-323472807,5,50,100,0.5,1000.0,0.01,100
243,-323469973,5,50,100,0.5,1000.0,0.01,300
245,-323460857,6,10,40,0.1,1000.0,0.01,200
247,-323459863,6,10,40,0.3,1000.0,0.01,100
249,-323459594,6,10,40,0.3,1000.0,0.01,300
251,-323458294,6,10,40,0.5,1000.0,0.01,200
253,-323457278,6,10,70,0.1,1000.0,0.01,100
255,-323452951,6,10,70,0.1,1000.0,0.01,300
257,-323443587,6,10,70,0.3,1000.0,0.01,200
259,-323435311,6,10,70,0.5,1000.0,0.01,100
261,-323431724,6,10,70,0.5,1000.0,0.01,300
263,-323416311,6,10,100,0.1,1000.0,0.01,200
265,-323384345,6,10,100,0.3,1000.0,0.01,100
267,-323370703,6,10,100,0.3,1000.0,0.01,300
269,-323338050,6,10,100,0.5,1000.0,0.01,200
271,-323300036,6,30,40,0.1,1000.0,0.01,100
273,-323299952,6,30,40,0.1,1000.0,0.01,300
275,-323299712,6,30,40,0.3,1000.0,0.01,200
277,-323299317,6,30,40,0.5,1000.0,0.01,100
279,-323299254,6,30,40,0.5,1000.0,0.01,300
281,-323298912,6,30,70,0.1,1000.0,0.01,200
283,-323297288,6,30,70,0.3,1000.0,0.01,100
285,-323295883,6,30,70,0.3,1000.0,0.01,300
287,-323292020,6,30,70,0.5,1000.0,0.01,200
289,-323289027,6,30,100,0.1,1000.0,0.01,100
291,-323283378,6,30,100,0.1,1000.0,0.01,300
293,-323270163,6,30,100,0.3,1000.0,0.01,200
295,-323263553,6,30,100,0.5,1000.0,0.01,100
297,-323257985,6,30,100,0.5,1000.0,0.01,300
299,-323243688,6,50,40,0.1,1000.0,0.01,200
301,-323243550,6,50,40,0.3,1000.0,0.01,100
303,-323243473,6,50,40,0.3,1000.0,0.01,300
305,-323243272,6,50,40,0.5,1000.0,0.01,200
307,-323243132,6,50,70,0.1,1000.0,0.01,100
309,-323242887,6,50,70,0.1,1000.0,0.01,300
311,-323241562,6,50,70,0.3,1000.0,0.01,200
313,-323241122,6,50,70,0.5,1000.0,0.01,100
315,-323240850,6,50,70,0.5,1000.0,0.01,300
317,-323239534,6,50,100,0.1,1000.0,0.01,200
319,-323234093,6,50,100,0.3,1000.0,0.01,100
321,-323231751,6,50,100,0.3,1000.0,0.01,300
323,-323227403,6,50,100,0.5,1000.0,0.01,200
2,-324430600,3,10,40,0.1,1000.0,0.01,200
4,-324426213,3,10,40,0.3,1000.0,0.01,100
6,-324425380,3,10,40,0.3,1000.0,0.01,300
8,-324423017,3,10,40,0.5,1000.0,0.01,200
10,-324421099,3,10,70,0.1,1000.0,0.01,100
12,-324411074,3,10,70,0.1,1000.0,0.01,300
14,-324394416,3,10,70,0.3,1000.0,0.01,200
16,-324380270,3,10,70,0.5,1000.0,0.01,100
18,-324373818,3,10,70,0.5,1000.0,0.01,300
20,-324347462,3,10,100,0.1,1000.0,0.01,200
22,-324290746,3,10,100,0.3,1000.0,0.01,100
24,-324274172,3,10,100,0.3,1000.0,0.01,300
26,-324222071,3,10,100,0.5,1000.0,0.01,200
28,-324175757,3,30,40,0.1,1000.0,0.01,100
30,-324175566,3,30,40,0.1,1000.0,0.01,300
32,-324174785,3,30,40,0.3,1000.0,0.01,200
34,-324174193,3,30,40,0.5,1000.0,0.01,100
36,-324173963,3,30,40,0.5,1000.0,0.01,300
38,-324173414,3,30,70,0.1,1000.0,0.01,200
40,-324168991,3,30,70,0.3,1000.0,0.01,100
