"run","randomSeed","perception_radius","treasure_count","area_dimensions","navigation_memory","treasure_value","treasure_decay_rate","explorer_count"
1,-313542729,3,10,40,0.1,1000.0,0.01,100
3,-313541463,3,10,40,0.1,1000.0,0.01,300
5,-313537935,3,10,40,0.3,1000.0,0.01,200
7,-313536538,3,10,40,0.5,1000.0,0.01,100
9,-313535383,3,10,40,0.5,1000.0,0.01,300
11,-313532530,3,10,70,0.1,1000.0,0.01,200
13,-313523984,3,10,70,0.3,1000.0,0.01,100
15,-313520113,3,10,70,0.3,1000.0,0.01,300
17,-313505203,3,10,70,0.5,1000.0,0.01,200
19,-313496597,3,10,100,0.1,1000.0,0.01,100
21,-313481218,3,10,100,0.1,1000.0,0.01,300
23,-313424375,3,10,100,0.3,1000.0,0.01,200
25,-313396519,3,10,100,0.5,1000.0,0.01,100
27,-313380276,3,10,100,0.5,1000.0,0.01,300
29,-313321203,3,30,40,0.1,1000.0,0.01,200
31,-313321031,3,30,40,0.3,1000.0,0.01,100
33,-313320922,3,30,40,0.3,1000.0,0.01,300
35,-313320532,3,30,40,0.5,1000.0,0.01,200
37,-313320155,3,30,70,0.1,1000.0,0.01,100
39,-313318812,3,30,70,0.1,1000.0,0.01,300
41,-313311672,3,30,70,0.3,1000.0,0.01,200
43,-313307812,3,30,70,0.5,1000.0,0.01,100
45,-313304640,3,30,70,0.5,1000.0,0.01,300
47,-313298381,3,30,100,0.1,1000.0,0.01,200
49,-313277504,3,30,100,0.3,1000.0,0.01,100
51,-313271249,3,30,100,0.3,1000.0,0.01,300
53,-313247499,3,30,100,0.5,1000.0,0.01,200
55,-313232343,3,50,40,0.1,1000.0,0.01,100
57,-313232249,3,50,40,0.1,1000.0,0.01,300
59,-313232031,3,50,40,0.3,1000.0,0.01,200
61,-313231968,3,50,40,0.5,1000.0,0.01,100
63,-313231906,3,50,40,0.5,1000.0,0.01,300
65,-313231656,3,50,70,0.1,1000.0,0.01,200
67,-313229546,3,50,70,0.3,1000.0,0.01,100
69,-313228768,3,50,70,0.3,1000.0,0.01,300
71,-313225859,3,50,70,0.5,1000.0,0.01,200
73,-313223545,3,50,100,0.1,1000.0,0.01,100
75,-313217468,3,50,100,0.1,1000.0,0.01,300
