"run","FinalTimeTick","StartingDistanceFromFoundTreasure","FinalUtility","InTeam"
1,13,9.848857801796104,877.5210229989681,"false"
1,32,22.67156809750927,724.9803359578536,"false"
1,44,9.848857801796104,642.6116020847182,"false"
1,8,5.830951894845301,922.7446944279202,"false"
1,63,12.0,268.1341126035926,"true"
1,19,13.601470508735444,826.1686238355869,"false"
1,12,8.48528137423857,886.3848717161294,"false"
1,3,3.0,970.299,"false"
1,16,10.816653826391969,851.4577710948759,"false"
1,30,17.11724276862369,369.85018669414023,"true"
1,5,3.605551275463989,950.9900499,"false"
1,3,2.23606797749979,970.299,"false"
1,9,7.0,913.517247483641,"false"
1,5,3.605551275463989,950.9900499,"false"
1,22,13.038404810405298,801.6305895390461,"false"
1,4,3.1622776601683795,960.59601,"false"
1,50,21.2602916254693,305.5586197664325,"true"
1,3,2.23606797749979,970.299,"false"
1,69,7.211102550927978,249.9185149495996,"true"
1,4,3.1622776601683795,960.59601,"false"
1,26,6.4031242374328485,770.0431458051554,"false"
1,28,18.384776310850235,754.7192872036328,"false"
1,9,6.4031242374328485,913.517247483641,"false"
1,26,16.15549442140351,770.0431458051554,"false"
1,10,6.324555320336759,904.3820750088046,"false"
1,8,5.656854249492381,922.7446944279202,"false"
1,75,7.615773105863909,235.2933207928251,"true"
1,49,25.80697580112788,305.5586197664325,"true"
1,32,22.627416997969522,724.9803359578536,"false"
1,34,15.0,710.5532272722924,"false"
1,24,16.97056274847714,785.678140807219,"false"
1,26,20.248456731316587,770.0431458051554,"false"
1,47,8.06225774829855,311.7626974456,"true"
1,1,1.0,990.0,"false"
1,24,17.88854381999832,785.678140807219,"false"
1,7,5.0,932.06534790699,"false"
1,76,24.839484696748443,232.94038758489685,"true"
1,2,1.4142135623730951,980.1,"false"
1,72,14.422205101855956,242.49568513708155,"true"
1,20,14.212670403551895,817.906937597231,"false"
1,3,2.23606797749979,970.299,"false"
1,30,20.248456731316587,739.7003733882805,"false"
1,9,6.082762530298219,913.517247483641,"false"
1,17,12.529964086141668,842.9431933839271,"false"
1,16,9.486832980505138,851.4577710948759,"false"
1,3,2.23606797749979,970.299,"false"
1,16,11.313708498984761,851.4577710948759,"false"
1,69,18.027756377319946,249.9185149495996,"true"
1,8,6.324555320336759,922.7446944279202,"false"
1,75,30.4138126514911,235.2933207928251,"true"
1,78,14.212670403551895,230.61098370904787,"true"
1,120,41.617304093369626,149.6901956561658,"true"
1,6,5.0990195135927845,941.4801494010001,"false"
1,1,1.0,990.0,"false"
1,6,6.0,941.4801494010001,"false"
1,77,15.524174696260024,230.61098370904787,"true"
1,9,6.708203932499369,913.517247483641,"false"
1,3,3.0,970.299,"false"
1,4,3.1622776601683795,960.59601,"false"
1,2,1.4142135623730951,980.1,"false"
1,73,23.021728866442675,242.49568513708155,"true"
1,3,2.23606797749979,970.299,"false"
1,27,9.848857801796104,762.3427143471039,"false"
1,18,13.601470508735444,834.5137614500878,"false"
1,20,10.295630140987,817.906937597231,"false"
1,17,8.94427190999916,842.9431933839271,"false"
