"run","randomSeed","perception_radius","treasure_count","area_dimensions","navigation_memory","treasure_value","treasure_decay_rate","explorer_count"
1,-327340132,3,10,40,0.1,1000.0,0.01,100
3,-327338557,3,10,40,0.1,1000.0,0.01,300
5,-327335195,3,10,40,0.3,1000.0,0.01,200
7,-327332737,3,10,40,0.5,1000.0,0.01,100
9,-327332060,3,10,40,0.5,1000.0,0.01,300
11,-327329201,3,10,70,0.1,1000.0,0.01,200
13,-327316854,3,10,70,0.3,1000.0,0.01,100
15,-327310045,3,10,70,0.3,1000.0,0.01,300
17,-327291220,3,10,70,0.5,1000.0,0.01,200
19,-327283194,3,10,100,0.1,1000.0,0.01,100
21,-327258792,3,10,100,0.1,1000.0,0.01,300
23,-327197220,3,10,100,0.3,1000.0,0.01,200
25,-327151361,3,10,100,0.5,1000.0,0.01,100
27,-327111768,3,10,100,0.5,1000.0,0.01,300
29,-327019010,3,30,40,0.1,1000.0,0.01,200
31,-327018186,3,30,40,0.3,1000.0,0.01,100
33,-327018012,3,30,40,0.3,1000.0,0.01,300
35,-327017560,3,30,40,0.5,1000.0,0.01,200
37,-327017055,3,30,70,0.1,1000.0,0.01,100
39,-327015092,3,30,70,0.1,1000.0,0.01,300
41,-327007978,3,30,70,0.3,1000.0,0.01,200
43,-327002852,3,30,70,0.5,1000.0,0.01,100
45,-327000269,3,30,70,0.5,1000.0,0.01,300
47,-326993909,3,30,100,0.1,1000.0,0.01,200
49,-326975572,3,30,100,0.3,1000.0,0.01,100
51,-326969018,3,30,100,0.3,1000.0,0.01,300
53,-326940820,3,30,100,0.5,1000.0,0.01,200
55,-326926260,3,50,40,0.1,1000.0,0.01,100
57,-326926205,3,50,40,0.1,1000.0,0.01,300
59,-326925909,3,50,40,0.3,1000.0,0.01,200
61,-326925712,3,50,40,0.5,1000.0,0.01,100
63,-326925611,3,50,40,0.5,1000.0,0.01,300
65,-326925430,3,50,70,0.1,1000.0,0.01,200
67,-326922761,3,50,70,0.3,1000.0,0.01,100
69,-326921806,3,50,70,0.3,1000.0,0.01,300
71,-326918420,3,50,70,0.5,1000.0,0.01,200
73,-326915368,3,50,100,0.1,1000.0,0.01,100
75,-326910687,3,50,100,0.1,1000.0,0.01,300
77,-326892176,3,50,100,0.3,1000.0,0.01,200
79,-326882384,3,50,100,0.5,1000.0,0.01,100
81,-326876430,3,50,100,0.5,1000.0,0.01,300
83,-326860751,4,10,40,0.1,1000.0,0.01,200
85,-326859780,4,10,40,0.3,1000.0,0.01,100
87,-326859285,4,10,40,0.3,1000.0,0.01,300
89,-326857616,4,10,40,0.5,1000.0,0.01,200
91,-326856126,4,10,70,0.1,1000.0,0.01,100
93,-326852495,4,10,70,0.1,1000.0,0.01,300
95,-326829744,4,10,70,0.3,1000.0,0.01,200
97,-326819194,4,10,70,0.5,1000.0,0.01,100
99,-326813535,4,10,70,0.5,1000.0,0.01,300
101,-326802093,4,10,100,0.1,1000.0,0.01,200
103,-326773329,4,10,100,0.3,1000.0,0.01,100
105,-326748599,4,10,100,0.3,1000.0,0.01,300
107,-326701724,4,10,100,0.5,1000.0,0.01,200
109,-326660432,4,30,40,0.1,1000.0,0.01,100
111,-326660315,4,30,40,0.1,1000.0,0.01,300
113,-326659994,4,30,40,0.3,1000.0,0.01,200
115,-326659805,4,30,40,0.5,1000.0,0.01,100
117,-326659677,4,30,40,0.5,1000.0,0.01,300
119,-326659091,4,30,70,0.1,1000.0,0.01,200
121,-326656625,4,30,70,0.3,1000.0,0.01,100
123,-326655016,4,30,70,0.3,1000.0,0.01,300
125,-326650228,4,30,70,0.5,1000.0,0.01,200
127,-326646183,4,30,100,0.1,1000.0,0.01,100
129,-326638111,4,30,100,0.1,1000.0,0.01,300
131,-326611389,4,30,100,0.3,1000.0,0.01,200
133,-326599635,4,30,100,0.5,1000.0,0.01,100
135,-326593438,4,30,100,0.5,1000.0,0.01,300
137,-326574247,4,50,40,0.1,1000.0,0.01,200
139,-326574107,4,50,40,0.3,1000.0,0.01,100
141,-326574068,4,50,40,0.3,1000.0,0.01,300
143,-326573912,4,50,40,0.5,1000.0,0.01,200
145,-326573819,4,50,70,0.1,1000.0,0.01,100
147,-326573270,4,50,70,0.1,1000.0,0.01,300
149,-326571137,4,50,70,0.3,1000.0,0.01,200
151,-326569560,4,50,70,0.5,1000.0,0.01,100
153,-326568481,4,50,70,0.5,1000.0,0.01,300
155,-326566338,4,50,100,0.1,1000.0,0.01,200
157,-326560184,4,50,100,0.3,1000.0,0.01,100
159,-326557216,4,50,100,0.3,1000.0,0.01,300
161,-326546851,4,50,100,0.5,1000.0,0.01,200
163,-326537339,5,10,40,0.1,1000.0,0.01,100
