"tick","A treasure's value","Number of teams formed"
1.0,990.0,0.0
2.0,980.1,0.0
3.0,970.299,0.0
4.0,960.59601,0.0
5.0,950.9900499,0.0
6.0,941.4801494010001,0.0
7.0,932.06534790699,0.0
8.0,922.7446944279202,0.0
9.0,913.517247483641,0.0
10.0,904.3820750088046,0.0
11.0,895.3382542587166,0.0
12.0,886.3848717161294,0.0
13.0,877.5210229989681,0.0
14.0,868.7458127689785,0.0
15.0,860.0583546412887,0.0
16.0,851.4577710948759,0.0
17.0,842.9431933839271,0.0
18.0,834.5137614500878,0.0
19.0,826.1686238355869,0.0
20.0,817.906937597231,0.0
21.0,809.7278682212587,0.0
22.0,801.6305895390461,0.0
23.0,793.6142836436557,0.0
24.0,785.678140807219,0.0
25.0,777.8213593991469,0.0
26.0,770.0431458051554,0.0
27.0,762.3427143471039,0.0
28.0,754.7192872036328,0.0
29.0,747.1720943315964,0.0
30.0,739.7003733882805,0.0
31.0,732.3033696543977,0.0
32.0,724.9803359578536,0.0
33.0,717.7305325982751,0.0
34.0,710.5532272722924,0.0
35.0,703.4476949995694,0.0
36.0,696.4132180495737,0.0
37.0,689.449085869078,0.0
38.0,682.5545950103872,0.0
39.0,675.7290490602833,0.0
40.0,668.9717585696804,0.0
41.0,662.2820409839836,0.0
42.0,655.6592205741438,0.0
43.0,649.1026283684023,0.0
44.0,642.6116020847182,0.0
45.0,636.185486063871,0.0
46.0,629.8236312032324,0.0
47.0,623.5253948912,0.0
48.0,617.290140942288,0.0
49.0,611.117239532865,0.0
50.0,605.0060671375364,0.0
51.0,598.956006466161,0.0
52.0,592.9664464014994,0.0
53.0,587.0367819374844,0.0
54.0,581.1664141181096,0.0
55.0,575.3547499769286,0.0
56.0,569.6012024771593,0.0
57.0,563.9051904523877,0.0
58.0,558.2661385478639,0.0
59.0,552.6834771623852,0.0
