"tick","A treasure's value","Number of teams formed"
1.0,990.0,0.0
2.0,980.1,0.0
3.0,970.299,0.0
4.0,960.59601,2.0
5.0,950.9900499,3.0
6.0,941.4801494010001,3.0
7.0,932.06534790699,32.0
8.0,922.7446944279202,37.0
9.0,913.517247483641,37.0
10.0,904.3820750088046,38.0
11.0,895.3382542587166,38.0
12.0,886.3848717161294,39.0
13.0,877.5210229989681,39.0
14.0,868.7458127689785,39.0
15.0,860.0583546412887,39.0
16.0,851.4577710948759,39.0
17.0,842.9431933839271,39.0
18.0,834.5137614500878,39.0
19.0,826.1686238355869,39.0
20.0,817.906937597231,39.0
21.0,809.7278682212587,39.0
22.0,801.6305895390461,39.0
23.0,793.6142836436557,39.0
24.0,785.678140807219,39.0
25.0,777.8213593991469,39.0
26.0,770.0431458051554,41.0
27.0,762.3427143471039,41.0
28.0,754.7192872036328,41.0
29.0,747.1720943315964,41.0
30.0,739.7003733882805,41.0
31.0,732.3033696543977,41.0
32.0,724.9803359578536,41.0
33.0,717.7305325982751,41.0
34.0,710.5532272722924,41.0
35.0,703.4476949995694,41.0
36.0,696.4132180495737,41.0
37.0,689.449085869078,41.0
38.0,682.5545950103872,41.0
39.0,675.7290490602833,41.0
40.0,668.9717585696804,41.0
41.0,662.2820409839836,41.0
42.0,655.6592205741438,41.0
43.0,649.1026283684023,41.0
44.0,642.6116020847182,41.0
45.0,636.185486063871,41.0
46.0,629.8236312032324,41.0
47.0,623.5253948912,41.0
48.0,617.290140942288,42.0
49.0,611.117239532865,42.0
50.0,605.0060671375364,42.0
51.0,598.956006466161,42.0
52.0,592.9664464014994,42.0
53.0,587.0367819374844,42.0
54.0,581.1664141181096,42.0
55.0,575.3547499769286,42.0
56.0,569.6012024771593,42.0
57.0,563.9051904523877,42.0
58.0,558.2661385478639,42.0
59.0,552.6834771623852,42.0
60.0,547.1566423907614,42.0
61.0,541.6850759668538,42.0
62.0,536.2682252071852,42.0
63.0,530.9055429551133,42.0
64.0,525.5964875255622,42.0
65.0,520.3405226503066,42.0
66.0,515.1371174238036,42.0
67.0,509.9857462495656,42.0
68.0,504.8858887870699,42.0
69.0,499.8370298991992,42.0
70.0,494.8386596002072,42.0
71.0,489.89027300420514,42.0
72.0,484.9913702741631,42.0
73.0,480.1414565714215,42.0
74.0,475.3400420057073,42.0
75.0,470.5866415856502,42.0
76.0,465.8807751697937,42.0
77.0,461.22196741809574,42.0
78.0,456.6097477439148,42.0
79.0,452.04365026647565,42.0
80.0,447.5232137638109,42.0
81.0,443.04798162617277,42.0
82.0,438.61750180991106,42.0
