"FinalTimeTick","StartingDistanceFromFoundTreasure","FinalUtility","InTeam"
71,39.56008088970496,244.94513650210257,"true"
194,88.40814442120137,71.15374389104441,"true"
41,27.202941017470888,334.4858792848402,"true"
50,39.0,302.5030335687682,"true"
17,9.848857801796104,421.47159669196355,"true"
70,36.87817782917155,247.4193298001036,"true"
148,56.639209034025185,112.97407776699376,"true"
294,71.7007670809734,26.044571466794736,"true"
73,14.866068747318506,240.07072828571074,"true"
64,10.816653826391969,262.7982437627811,"true"
70,38.47076812334269,247.4193298001036,"true"
244,65.36818798161687,43.0484467536323,"true"
34,16.401219466856727,358.86526629913755,"true"
414,10.816653826391969,7.7972339972909905,"true"
86,50.60632371551998,210.66711107738416,"true"
106,58.240879114244144,172.30609167375894,"true"
89,63.12685640834652,204.41008721127477,"true"
161,8.06225774829855,99.13712829445731,"true"
25,17.804493814764857,388.91067969957345,"true"
50,35.805027579936315,302.5030335687682,"true"
89,62.42595614005443,204.41008721127477,"true"
30,18.601075237738275,369.85018669414023,"true"
229,73.23933369440222,50.05293713074488,"true"
44,24.020824298928627,321.3058010423591,"true"
14,10.63014581273465,434.3729063844892,"true"
3,2.23606797749979,970.299,"false"
28,15.811388300841896,754.7192872036328,"false"
213,84.48076704197234,59.378778455771666,"true"
171,48.25971404805462,89.65784179735539,"true"
35,23.40939982143925,351.7238474997847,"true"
47,23.53720459187964,314.9118156016162,"true"
50,35.84689665786984,302.5030335687682,"true"
55,35.0,287.6773749884643,"true"
152,57.62811813689564,108.52244833640391,"true"
244,57.8013840664737,43.0484467536323,"true"
5,4.123105625617661,950.9900499,"false"
81,45.803929962395145,223.76160688190544,"true"
115,55.54277630799526,158.99453190957186,"true"
86,58.05170109479997,212.79506169432744,"true"
427,55.90169943749474,6.842236753865121,"true"
89,37.33630940518894,206.47483556694422,"true"
84,48.30113870293329,214.9445067619469,"true"
27,19.1049731745428,381.17135717355194,"true"
14,10.0,868.7458127689785,"false"
15,11.40175425099138,430.02917732064435,"true"
275,78.77182237323191,31.842952137447327,"true"
42,26.90724809414742,331.1410204919918,"true"
14,9.486832980505138,434.3729063844892,"true"
71,40.718546143004666,244.94513650210257,"true"
2,2.0,980.1,"false"
277,44.204072210600685,31.209277389912124,"true"
38,22.20360331117452,341.2772975051936,"true"
224,72.80109889280519,52.63245092417962,"true"
21,14.866068747318506,809.7278682212587,"false"
50,35.608987629529715,302.5030335687682,"true"
19,13.601470508735444,413.08431191779346,"true"
7,5.0,932.06534790699,"false"
45,18.439088914585774,318.0927430319355,"true"
51,27.202941017470888,302.5030335687682,"true"
92,19.235384061671343,200.3423264757704,"true"
22,16.1245154965971,400.81529476952306,"true"
276,46.61544808322666,31.209277389912124,"true"
20,13.45362404707371,408.9534687986155,"true"
205,11.313708498984761,63.70666883937951,"true"
205,19.4164878389476,63.70666883937951,"true"
115,28.460498941515414,158.99453190957186,"true"
14,10.770329614269007,434.3729063844892,"true"
20,14.035668847618199,413.08431191779346,"true"
314,46.52956049652737,21.302035689438302,"true"
108,76.48529270389177,168.87720044945115,"true"
118,69.31810730249349,152.72951296415243,"true"
124,21.540659228538015,145.24424715498202,"true"
660,36.138621999185304,0.6579584043761767,"true"
427,51.85556864985669,6.842236753865121,"true"
114,52.392747589718944,158.99453190957186,"true"
230,77.6659513557904,50.05293713074488,"true"
111,62.07253821135398,163.861378718902,"true"
29,19.313207915827967,373.5860471657982,"true"
38,22.02271554554524,344.724542934539,"true"
48,17.46424919657298,311.7626974456,"true"
14,8.06225774829855,434.3729063844892,"true"
5,3.605551275463989,950.9900499,"false"
42,31.304951684997057,327.8296102870719,"true"
10,8.246211251235321,904.3820750088046,"false"
46,30.870698080866262,314.9118156016162,"true"
33,14.7648230602334,362.4901679789268,"true"
38,15.033296378372908,341.2772975051936,"true"
31,21.93171219946131,366.15168482719884,"true"
120,26.90724809414742,149.6901956561658,"true"
152,69.35416353759881,108.52244833640391,"true"
89,59.464274989274024,204.41008721127477,"true"
9,6.4031242374328485,913.517247483641,"false"
58,18.788294228055936,281.95259522619386,"true"
17,8.94427190999916,842.9431933839271,"false"
15,10.63014581273465,430.02917732064435,"true"
135,20.8806130178211,128.7423033819745,"true"
25,16.97056274847714,388.91067969957345,"true"
257,52.80151512977634,37.77591703376402,"true"
249,61.39218191268331,40.938644526354274,"true"
153,33.28663395418648,108.52244833640391,"true"
85,47.80167361086848,214.9445067619469,"true"
120,39.92492955535426,149.6901956561658,"true"
161,16.0312195418814,99.13712829445731,"true"
49,25.96150997149434,611.117239532865,"false"
301,47.41307836451879,24.275242565286494,"true"
11,7.810249675906654,447.6691271293583,"true"
9,6.708203932499369,913.517247483641,"false"
105,56.293871780150276,174.04655724622114,"true"
239,60.00833275470999,45.26697914258829,"true"
112,37.589892258425,162.22276493171296,"true"
325,72.40165743959182,19.072527446338555,"true"
37,19.6468827043885,344.724542934539,"true"
112,53.85164807134504,163.861378718902,"true"
